Time, L1-AMPERAGE, L2-AMPERAGE,L3-AMPERAGE,L4-AMPERAGE,R1-AMPERAGE,R2-AMPERAGE,R3-AMPERAGE,R4-AMPERAGE, BATTERY
00005.36,9.25,3.125,7.0,7.0,9.125,6.0,2.5,6.75,10.971606201171875,
000005.4,9.0,3.125,7.75,7.875,8.75,5.75,2.75,7.375,10.475291015625,
00005.42,10.0,2.125,9.5,9.875,9.0,5.5,3.0,8.5,10.512985839843749,
00005.44,10.75,2.125,11.25,11.875,8.625,4.375,4.125,10.5,10.72658984375,
00005.46,10.875,2.125,12.25,13.5,8.25,3.875,4.875,11.625,10.858521728515624,
00005.46,9.25,1.75,12.75,14.125,6.5,2.75,5.0,12.25,10.827109375,
000005.5,7.75,1.0,12.75,14.375,5.0,1.625,4.25,11.75,11.097255615234374,
00005.52,6.25,0.625,12.625,14.375,3.5,1.125,3.625,11.125,10.88993408203125,
00005.54,4.875,0.75,12.875,14.375,2.5,1.0,3.25,10.625,10.68889501953125,
00005.56,5.75,0.75,13.25,14.375,2.625,1.125,3.0,10.625,10.933911376953125,
00005.58,5.625,0.75,13.0,14.0,3.0,1.375,3.375,10.625,10.88993408203125,
000005.6,6.0,1.0,13.0,14.0,2.625,1.125,3.375,11.0,10.770567138671874,
00005.62,6.375,0.75,12.875,14.375,2.125,0.75,3.5,11.0,10.883651611328125,
00005.64,6.375,0.75,13.25,14.125,1.5,1.0,3.625,11.125,11.12866796875,
00005.66,5.625,0.75,13.0,13.75,1.0,0.875,3.625,11.125,10.946476318359375,
00005.68,4.875,0.625,12.625,13.25,1.0,0.875,3.5,10.625,10.858521728515624,
00005.68,4.375,0.625,12.125,13.125,0.875,0.75,3.375,10.25,10.92762890625,
00005.72,5.125,0.625,11.875,13.5,1.375,0.625,3.375,10.375,11.021865966796875,
00005.74,6.0,0.625,11.625,13.75,1.375,0.75,3.375,10.125,10.858521728515624,
00005.76,5.875,0.375,11.75,14.0,1.5,0.875,3.375,10.375,10.745437255859375,
00005.78,6.0,0.25,11.875,13.75,1.375,0.625,3.25,10.0,11.09097314453125,
000005.8,5.0,0.375,11.875,13.625,1.75,0.375,3.0,10.375,10.814544433593749,
00005.82,5.625,0.625,11.875,13.375,1.375,0.5,3.25,10.375,10.877369140625,
00005.84,5.5,0.625,12.125,13.5,1.375,0.5,3.25,10.25,11.009301025390625,
00005.86,5.125,0.375,11.75,13.25,1.0,0.75,3.25,10.0,10.858521728515624,
00005.88,6.0,0.375,11.75,13.5,1.375,0.875,3.0,10.125,11.160080322265625,
000005.9,5.875,0.75,11.125,13.5,1.375,1.125,2.875,10.0,10.996736083984375,
00005.92,6.125,1.0,11.0,13.5,1.375,1.25,2.875,10.0,11.16636279296875,
00005.94,5.875,0.75,10.875,13.125,1.0,1.125,2.75,9.375,11.178927734375,
00005.96,4.75,0.375,10.125,12.0,0.75,1.0,2.625,8.5,11.662677978515624,
00005.98,3.875,0.375,8.375,9.875,0.5,0.625,2.0,6.875,11.851152099609374,
000006.0,2.375,0.25,6.25,7.125,0.125,0.375,1.375,5.0,11.901411865234374,
00006.02,1.125,0.25,4.0,2.375,0.125,0.25,0.625,3.125,12.04590869140625,
00006.04,1.0,0.25,1.75,1.25,0.0,0.125,0.25,0.25,12.0584736328125,
00006.06,0.75,0.25,0.625,0.75,0.0,0.0,0.125,0.0,12.0584736328125,
